id,drink_id,name,price,quantity,change,event,timestamp
310670,1,Pilsner,5.1,2,0.1,buy,2025-09-06T16:40:31.310801
311285,2,IPA,5.976,0,-0.024,balance,2025-09-06T16:40:31.311324
311937,3,Cocktail,8.964,0,-0.036,balance,2025-09-06T16:40:31.311978
312569,4,Soft,2.988,0,-0.012,balance,2025-09-06T16:40:31.312612
313227,5,Shot,3.984,0,-0.016,balance,2025-09-06T16:40:31.313270
845298,3,Cocktail,9.054,1,0.09,buy,2025-09-06T16:52:01.845561
848785,1,Pilsner,5.09,0,-0.01,balance,2025-09-06T16:52:01.848932
849868,2,IPA,5.964,0,-0.012,balance,2025-09-06T16:52:01.849932
850472,4,Soft,2.982,0,-0.006,balance,2025-09-06T16:52:01.850531
851154,5,Shot,3.976,0,-0.008,balance,2025-09-06T16:52:01.851262
712219,1,Pilsner,3.1747,0,-1.9153,crash,2025-09-06T16:52:41.712265
713096,2,IPA,4.913,0,-1.051,crash,2025-09-06T16:52:41.713213
713789,3,Cocktail,7.4104,0,-1.6436,crash,2025-09-06T16:52:41.713883
714306,4,Soft,2.0,0,-0.982,crash,2025-09-06T16:52:41.714368
714837,5,Shot,2.0,0,-1.976,crash,2025-09-06T16:52:41.714885
329543,1,Pilsner,5.0,0,0,reset,2025-09-06T16:54:02.329590
330239,2,IPA,6.0,0,0,reset,2025-09-06T16:54:02.330284
330837,3,Cocktail,9.0,0,0,reset,2025-09-06T16:54:02.330900
331331,4,Soft,3.0,0,0,reset,2025-09-06T16:54:02.331370
331742,5,Shot,4.0,0,0,reset,2025-09-06T16:54:02.331779
34252,1,Pilsner,3.0,0,-2.0,crash,2025-09-06T16:56:12.034350
35229,2,IPA,4.0483,0,-1.9517,crash,2025-09-06T16:56:12.035280
35841,3,Cocktail,7.6712,0,-1.3288,crash,2025-09-06T16:56:12.035891
36609,4,Soft,2.0,0,-1.0,crash,2025-09-06T16:56:12.036665
37204,5,Shot,2.9468,0,-1.0532,crash,2025-09-06T16:56:12.037331
765079,2,IPA,4.0,0,-0.0483,crash,2025-09-06T16:56:15.765126
766473,3,Cocktail,6.0,0,-1.6712,crash,2025-09-06T16:56:15.766523
767208,5,Shot,2.0,0,-0.9468,crash,2025-09-06T16:56:15.767263
640749,1,Pilsner,5.0,0,0,reset,2025-09-06T16:56:23.640804
641341,2,IPA,6.0,0,0,reset,2025-09-06T16:56:23.641394
641992,3,Cocktail,9.0,0,0,reset,2025-09-06T16:56:23.642041
642551,4,Soft,3.0,0,0,reset,2025-09-06T16:56:23.642601
643192,5,Shot,4.0,0,0,reset,2025-09-06T16:56:23.643243
765323,2,IPA,6.06,1,0.06,buy,2025-09-06T16:57:02.765382
766339,1,Pilsner,4.99,0,-0.01,balance,2025-09-06T16:57:02.766397
766884,3,Cocktail,8.982,0,-0.018,balance,2025-09-06T16:57:02.766943
767488,4,Soft,2.994,0,-0.006,balance,2025-09-06T16:57:02.767538
768066,5,Shot,3.992,0,-0.008,balance,2025-09-06T16:57:02.768126
480269,1,Pilsner,5.04,1,0.05,buy,2025-09-06T16:57:14.480329
480927,2,IPA,6.048,0,-0.012,balance,2025-09-06T16:57:14.480982
481390,3,Cocktail,8.964,0,-0.018,balance,2025-09-06T16:57:14.481438
481838,4,Soft,2.988,0,-0.006,balance,2025-09-06T16:57:14.481909
482393,5,Shot,3.984,0,-0.008,balance,2025-09-06T16:57:14.482447
286715,1,Pilsner,6.5,0,1.46,manual_update,2025-09-06T17:00:24.286769
941984,1,Pilsner,6.6073,2,0.1073,rush_hour,2025-09-06T17:03:15.942070
933711,3,Cocktail,9.0918,0,0.1278,happy_hour,2025-09-06T17:06:39.933767
934292,4,Soft,2.9371,0,-0.0509,happy_hour,2025-09-06T17:06:39.934335
934829,5,Shot,4.0672,0,0.0832,happy_hour,2025-09-06T17:06:39.934868
657299,1,Pilsner,6.5963,0,-0.011,market_evolution,2025-09-06T17:06:55.657355
657990,2,IPA,6.038,0,-0.01,market_evolution,2025-09-06T17:06:55.658045
658636,3,Cocktail,9.2305,0,0.1387,happy_hour,2025-09-06T17:06:55.658691
659145,4,Soft,2.8908,0,-0.0463,happy_hour,2025-09-06T17:06:55.659200
659657,5,Shot,4.1488,0,0.0816,happy_hour,2025-09-06T17:06:55.659709
988232,3,Cocktail,9.3143,0,0.0838,rush_hour,2025-09-06T17:08:14.988288
989607,4,Soft,2.9139,0,0.0231,rush_hour,2025-09-06T17:08:14.989654
990177,5,Shot,4.2044,0,0.0556,rush_hour,2025-09-06T17:08:14.990220
115946,1,Pilsner,6.6472,1,0.0509,weekend,2025-09-06T20:04:45.116561
91822,4,Soft,2.9812,1,0.0673,weekend,2025-09-06T20:05:18.091892
884283,3,Cocktail,9.78,5,0.4657,weekend,2025-09-06T20:05:24.884350
290347,5,Shot,4.4146,10,0.2102,weekend,2025-09-06T20:05:29.290412
384381,5,Shot,4.6353,10,0.2207,weekend,2025-09-06T20:06:08.384462
367371,2,IPA,6.2673,4,0.2293,weekend,2025-09-06T20:06:12.367462
955286,4,Soft,3.028,2,0.0468,weekend,2025-09-06T20:06:19.955332
259091,1,Pilsner,6.7343,2,0.0871,weekend,2025-09-06T20:07:53.260666
408308,1,Pilsner,6.8391,2,0.1048,weekend,2025-09-06T20:07:53.408375
558848,1,Pilsner,6.9303,2,0.0912,weekend,2025-09-06T20:07:53.559010
701473,1,Pilsner,7.0342,2,0.1039,weekend,2025-09-06T20:07:53.701555
869728,1,Pilsner,7.1473,2,0.1131,weekend,2025-09-06T20:07:53.869800
19076,1,Pilsner,7.2498,2,0.1025,weekend,2025-09-06T20:07:54.019135
172659,1,Pilsner,7.3485,2,0.0987,weekend,2025-09-06T20:07:54.172726
318554,1,Pilsner,7.4635,2,0.115,weekend,2025-09-06T20:07:54.318619
468620,1,Pilsner,7.5508,2,0.0873,weekend,2025-09-06T20:07:54.468663
628744,1,Pilsner,7.6465,2,0.0957,weekend,2025-09-06T20:07:54.628842
788489,1,Pilsner,7.7644,2,0.1179,weekend,2025-09-06T20:07:54.788547
939828,1,Pilsner,7.8407,2,0.0763,weekend,2025-09-06T20:07:54.939883
92424,1,Pilsner,7.9386,2,0.0979,weekend,2025-09-06T20:07:55.092501
233802,1,Pilsner,8.0463,2,0.1077,weekend,2025-09-06T20:07:55.233937
365242,1,Pilsner,8.142,2,0.0957,weekend,2025-09-06T20:07:55.365287
520978,1,Pilsner,8.2201,2,0.0781,weekend,2025-09-06T20:07:55.521065
663158,1,Pilsner,8.3353,2,0.1152,weekend,2025-09-06T20:07:55.663209
815057,1,Pilsner,8.4523,2,0.117,weekend,2025-09-06T20:07:55.815103
964497,1,Pilsner,8.5509,2,0.0986,weekend,2025-09-06T20:07:55.964552
118364,1,Pilsner,8.6421,2,0.0912,weekend,2025-09-06T20:07:56.118431
270533,1,Pilsner,8.7372,2,0.0951,weekend,2025-09-06T20:07:56.270598
413135,1,Pilsner,8.8475,2,0.1103,weekend,2025-09-06T20:07:56.413221
565983,1,Pilsner,8.9607,2,0.1132,weekend,2025-09-06T20:07:56.566047
992070,1,Pilsner,9.0589,2,0.0982,weekend,2025-09-06T20:07:56.992119
147354,1,Pilsner,9.1608,2,0.1019,weekend,2025-09-06T20:07:57.147404
312432,1,Pilsner,9.262,2,0.1012,weekend,2025-09-06T20:07:57.312480
450881,1,Pilsner,9.3611,2,0.0991,weekend,2025-09-06T20:07:57.450936
598787,1,Pilsner,9.4505,2,0.0894,weekend,2025-09-06T20:07:57.598827
513829,1,Pilsner,9.923,100,0.4725,weekend,2025-09-06T20:08:20.513930
232134,1,Pilsner,10.0,100,0.077,weekend,2025-09-06T20:08:23.232203
152768,1,Pilsner,10.0,100,0.0,weekend,2025-09-06T20:08:25.152858
761168,1,Pilsner,10.0,100,0.0,weekend,2025-09-06T20:08:25.761225
142276,1,Pilsner,10.0,100,0.0,weekend,2025-09-06T20:08:26.142321
364221,1,Pilsner,10.0,100,0.0,weekend,2025-09-06T20:08:26.364338
553046,1,Pilsner,10.0,100,0.0,weekend,2025-09-06T20:08:26.553106
743002,1,Pilsner,10.0,100,0.0,weekend,2025-09-06T20:08:26.743071
911886,1,Pilsner,10.0,100,0.0,weekend,2025-09-06T20:08:26.911941
71555,1,Pilsner,10.0,100,0.0,weekend,2025-09-06T20:08:27.071608
465451,4,Soft,3.1794,100,0.1514,weekend,2025-09-06T20:08:48.465540
387477,1,Pilsner,10.0,100,0.0,weekend,2025-09-06T20:08:49.387532
726160,1,Pilsner,10.0,100,0.0,weekend,2025-09-06T20:08:49.726200
133018,5,Shot,4.8671,100,0.2318,weekend,2025-09-06T20:08:54.133075
795854,1,Pilsner,10.0,22,0.0,weekend,2025-09-06T20:09:02.795928
512106,1,Pilsner,10.0,2,0.0,weekend,2025-09-06T20:09:05.512178
162392,1,Pilsner,10.0,1,0.0,weekend,2025-09-06T20:09:08.162454
885135,2,IPA,6.5807,2000,0.3134,weekend,2025-09-06T20:09:17.885220
966735,2,IPA,6.9097,2000,0.329,weekend,2025-09-06T20:09:22.966806
922250,2,IPA,7.2552,2000,0.3455,weekend,2025-09-06T20:09:25.922349
55884,2,IPA,7.618,2000,0.3628,weekend,2025-09-06T20:09:29.055954
170294,1,Pilsner,9.7959,0,-0.2041,crash,2025-09-06T20:09:38.170376
171270,2,IPA,7.3586,0,-0.2594,crash,2025-09-06T20:09:38.171332
