drink_id,drink_name,quantity,unit_price,base_price,total_price,profit_loss,timestamp
SESSION_SUMMARY,Barman: C'est moi,41,Start: 2025-09-09T19:06:22.314079,End: 2025-09-09T19:57:30.491358,97.95108793955518,-9.94891206044482,Starting Cash: 0.0
,,,,,,,
3,Bourbon blonde,1,1.5,2.1,1.5,-0.6000000000000001,2025-09-09T19:06:40.083615
3,Bourbon blonde,1,1.521,2.1,1.521,-0.5790000000000002,2025-09-09T19:06:40.252694
3,Bourbon blonde,1,1.5419999999999998,2.1,1.5419999999999998,-0.5580000000000003,2025-09-09T19:06:40.409941
8,Kasteel Framboise,1,2.5,3.1,2.5,-0.6000000000000001,2025-09-09T19:06:55.239843
8,Kasteel Framboise,1,2.531,3.1,2.531,-0.569,2025-09-09T19:06:55.566351
8,Kasteel Framboise,1,2.5620000000000003,3.1,2.5620000000000003,-0.5379999999999998,2025-09-09T19:06:55.783076
8,Kasteel Framboise,1,2.5930000000000004,3.1,2.5930000000000004,-0.5069999999999997,2025-09-09T19:06:55.996931
8,Kasteel Framboise,1,2.6240000000000006,3.1,2.6240000000000006,-0.47599999999999953,2025-09-09T19:06:56.214657
8,Kasteel Framboise,1,2.6550000000000007,3.1,2.6550000000000007,-0.4449999999999994,2025-09-09T19:06:56.358529
8,Kasteel Framboise,1,2.686000000000001,3.1,2.686000000000001,-0.41399999999999926,2025-09-09T19:06:56.547502
8,Kasteel Framboise,1,2.717000000000001,3.1,2.717000000000001,-0.3829999999999991,2025-09-09T19:06:56.713871
8,Kasteel Framboise,1,2.748000000000001,3.1,2.748000000000001,-0.351999999999999,2025-09-09T19:06:56.891249
8,Kasteel Framboise,1,2.7790000000000012,3.1,2.7790000000000012,-0.32099999999999884,2025-09-09T19:06:57.055715
8,Kasteel Framboise,1,2.8100000000000014,3.1,2.8100000000000014,-0.2899999999999987,2025-09-09T19:06:57.394453
8,Kasteel Framboise,1,2.8410000000000015,3.1,2.8410000000000015,-0.25899999999999856,2025-09-09T19:06:57.723124
8,Kasteel Framboise,1,2.8720000000000017,3.1,2.8720000000000017,-0.22799999999999843,2025-09-09T19:06:57.889545
8,Kasteel Framboise,1,2.903000000000002,3.1,2.903000000000002,-0.1969999999999983,2025-09-09T19:06:58.217178
8,Kasteel Framboise,1,2.934000000000002,3.1,2.934000000000002,-0.16599999999999815,2025-09-09T19:06:58.468546
4,Chouffe cherry,1,2.4,3.1,2.4,-0.7000000000000002,2025-09-09T19:10:43.657480
4,Chouffe cherry,1,2.431,3.1,2.431,-0.669,2025-09-09T19:10:44.116290
4,Chouffe cherry,1,2.462,3.1,2.462,-0.6379999999999999,2025-09-09T19:10:45.597820
4,Chouffe cherry,1,2.4930000000000003,3.1,2.4930000000000003,-0.6069999999999998,2025-09-09T19:10:45.767583
6,Despe tropical,1,2.2667391696955117,2.3,2.2667391696955117,-0.03326083030448812,2025-09-09T19:11:49.000939
6,Despe tropical,1,2.289739169695512,2.3,2.289739169695512,-0.010260830304487989,2025-09-09T19:11:51.259494
6,Despe tropical,1,2.312739169695512,2.3,2.312739169695512,0.012739169695512143,2025-09-09T19:11:52.331716
6,Despe tropical,1,2.335739169695512,2.3,2.335739169695512,0.035739169695512274,2025-09-09T19:11:52.373179
6,Despe tropical,1,2.3587391696955122,2.3,2.3587391696955122,0.058739169695512405,2025-09-09T19:11:54.674009
6,Despe tropical,1,2.3817391696955124,2.3,2.3817391696955124,0.08173916969551254,2025-09-09T19:11:55.297988
6,Despe tropical,1,2.4047391696955125,2.3,2.4047391696955125,0.10473916969551267,2025-09-09T19:11:55.729947
6,Despe tropical,1,2.4277391696955126,2.3,2.4277391696955126,0.1277391696955128,2025-09-09T19:11:56.202817
6,Despe tropical,1,2.4507391696955128,2.3,2.4507391696955128,0.15073916969551293,2025-09-09T19:11:56.626361
6,Despe tropical,1,2.473739169695513,2.3,2.473739169695513,0.17373916969551306,2025-09-09T19:11:57.004179
6,Despe tropical,1,2.496739169695513,2.3,2.496739169695513,0.1967391696955132,2025-09-09T19:11:57.365444
6,Despe tropical,1,2.519739169695513,2.3,2.519739169695513,0.21973916969551333,2025-09-09T19:11:57.766982
6,Despe tropical,1,2.5427391696955133,2.3,2.5427391696955133,0.24273916969551346,2025-09-09T19:11:58.133991
6,Despe tropical,1,2.5657391696955134,2.3,2.5657391696955134,0.2657391696955136,2025-09-09T19:11:58.452987
3,Bourbon blonde,1,1.761947912763598,2.1,1.761947912763598,-0.3380520872364021,2025-09-09T19:12:35.735929
3,Bourbon blonde,1,1.7829479127635979,2.1,1.7829479127635979,-0.3170520872364022,2025-09-09T19:12:36.551186
3,Bourbon blonde,1,1.8039479127635978,2.1,1.8039479127635978,-0.2960520872364023,2025-09-09T19:12:38.581913
3,Bourbon blonde,1,1.8249479127635977,2.1,1.8249479127635977,-0.2750520872364024,2025-09-09T19:12:41.470045
3,Bourbon blonde,1,1.8459479127635976,2.1,1.8459479127635976,-0.2540520872364025,2025-09-09T19:12:41.706638
